,STATENAME,ST_CASE,MONTHNAME,DAY,DAYNAME,HOUR,HARM_EV,NUMOCCS,NUMOCCSNAME,UNITTYPE,,,,REG_STAT,REG_STATNAME,OWNER,OWNERNAME,VIN,VINNAME,MOD_YEAR,MOD_YEARNAME,VPICMAKE,VPICMAKENAME,VPICMODEL,VPICMODELNAME,VPICBODYCLASS,VPICBODYCLASSNAME,MAKE,BODY_TYP,BODY_TYPNAME,ICFINALBODY,ICFINALBODYNAME,GVWR_FROM,GVWR_FROMNAME,FIRE_EXPNAME,MAK_MOD,MAK_MODNAME,VIN_1,VIN_2,VIN_3,CDL_STATNAME,L_ENDORS,L_ENDORSNAME,L_COMPL,L_COMPLNAME,L_RESTRI,L_RESTRINAME,DR_HGT,DR_HGTNAME,DR_WGT,DR_WGTNAME,PREV_ACC,PREV_ACCNAME,PREV_SUS1,PREV_SUS1NAME,PREV_SUS2,PREV_SUS2NAME,PREV_SUS3,PREV_SUS3NAME,PREV_DWI,PREV_DWINAME,PREV_SPD,PREV_SPDNAME,PREV_OTH,PREV_OTHNAME,FIRST_MO,FIRST_MONAME,FIRST_YR,FIRST_YRNAME,LAST_MO,LAST_MONAME,LAST_YR,LAST_YRNAME,SPEEDREL,SPEEDRELNAME,VTRAFWAY,VTRAFWAYNAME,VNUM_LAN,VNUM_LANNAME,VSPD_LIM,VSPD_LIMNAME,VALIGN,VALIGNNAME,VPROFILE,VPROFILENAME,VPAVETYP,VPAVETYPNAME,VSURCOND,VSURCONDNAME,VTRAFCON,VTRAFCONNAME,VTCONT_F,VTCONT_FNAME,P_CRASH1,P_CRASH1NAME,P_CRASH2,P_CRASH2NAME,P_CRASH3,P_CRASH3NAME,PCRASH4,PCRASH4NAME,PCRASH5,PCRASH5NAME,ACC_TYPE,ACC_TYPENAME,ACC_CONFIG,ACC_CONFIGNAME,MODEL,DEATHS,,,,,,,
15,Hawaii,150036,2,2,5,May,5:00am-5:59am,Motor Vehicle In-Transport,6,Angle,,,,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,15,Hawaii,1,Driver (in this crash) was  Registered Owner,JYARM38E4PA0,JYARM38E4PA0,2023,2023,564,Yamaha,29670,YZF690,Motorcycle - Sport,76,Yamaha,80,Two Wheel Motorcycle (excluding motor scooters),0,12,Motor Vehicle In-Transport,1,Yes,76705,Yamaha 450-749cc,6,Valid,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,0,No Restrictions or Not Applicable,69,69,180,180 lbs.,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,No Record,0,No Record,0,No Record,0,No Record,5,"Yes, Specifics Unknown",2,"Two-Way, Divided, Unprotected Median",2,Two lanes,30,30 MPH,1,Straight,1,Level,2,"Blacktop, Bituminous, or Asphalt",1,Dry,0,No Controls,0,No Controls,1,Going Straight,67,"From crossing street, turning into opposite direction",99,Unknown/Not Reported,1,Tracking,1,Stayed in original travel lane,83,"K83-Changing Trafficway, Vehicle Turning-Turn Into Path-Turn Into Opposite Directions (Going Straight)",415,"Changing Trafficway, Vehicle Turning-Turn Into Path, Turn into Opposite Directions [Going Straight, Other Vehicle Turning Left]",705,1,,,,
15,Hawaii,150037,1,1,5,May,8:00pm-8:59pm,Pedalcyclist,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,,,,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,15,Hawaii,1,Driver (in this crash) was  Registered Owner,1FT7W2BT8DEA,1FT7W2BT8DEA,2013,2013,460,Ford,1805,F-250,Pickup,12,Ford,34,Light Pickup,0,9,Pedalcyclist,0,No or Not Reported,12481,Ford F-Series pickup,6,Valid,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,0,No Restrictions or Not Applicable,69,69,164,164 lbs.,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,No Record,0,No Record,0,No Record,0,No Record,0,No,2,"Two-Way, Divided, Unprotected Median",4,Four lanes,35,35 MPH,1,Straight,1,Level,2,"Blacktop, Bituminous, or Asphalt",1,Dry,2,Traffic control signal (on colors) with Pedestrian Signal,3,Device Functioning Properly,1,Going Straight,83,Pedalcyclist or other non-motorist in road,1,No Avoidance Maneuver,1,Tracking,1,Stayed in original travel lane,13,C13-Single Driver-Forward Impact-Pedestrian/ Animal,103,Single Driver-Struck Object While Moving Forward,481,0,,,,
15,Hawaii,150038,1,1,5,May,10:00pm-10:59pm,"Post, Pole or Other Supports",0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,,,,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,15,Hawaii,1,Driver (in this crash) was  Registered Owner,JKAEXKG16MDA,JKAEXKG16MDA,2021,2021,510,Kawasaki,20805,Ninja 400,Motorcycle - Sport,73,Kawasaki,80,Two Wheel Motorcycle (excluding motor scooters),0,31,"Post, Pole or Other Supports",0,No or Not Reported,73704,Kawasaki 350-449cc,6,Valid,0,No (CDL),0,No Endorsements required for this vehicle,2,No valid license for this class vehicle,0,No Restrictions or Not Applicable,67,67,190,190 lbs.,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,No Record,0,No Record,0,No Record,0,No Record,3,"Yes, Exceeded Speed Limit",1,"Two-Way, Not Divided",2,Two lanes,35,35 MPH,3,Curve - Left,1,Level,2,"Blacktop, Bituminous, or Asphalt",1,Dry,0,No Controls,0,No Controls,14,Negotiating a Curve,6,Traveling Too Fast for Conditions or Road Configuration,99,Unknown/Not Reported,9,Precrash stability unknown,4,Departed roadway,2,A2-Single Driver-Right Roadside Departure-Control/Traction Loss,101,Single Driver-Right Roadside Departure,704,1,,,,
15,Hawaii,150039,1,1,3,March,10:00pm-10:59pm,Traffic Signal Support,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,,,,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,15,Hawaii,2,Driver (in this crash) Not Registered Owner (Other Private Owner Listed),3KPF34AD8ME2,3KPF34AD8ME2,2021,2021,499,Kia,2462,Forte,Sedan/Saloon,63,KIA,4,"4-door sedan, hardtop",0,46,Traffic Signal Support,0,No or Not Reported,63038,KIA Forte,6,Valid,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,3,"Restrictions, Compliance Unknown",69,69,150,150 lbs.,7,7,0,None,0,None,0,None,0,None,0,None,0,None,2,February,2020,2020,1,January,2023,2023,0,No,1,"Two-Way, Not Divided",1,One lane,25,25 MPH,2,Curve - Right,6,Downhill,2,"Blacktop, Bituminous, or Asphalt",1,Dry,3,Traffic control signal(on colors) not known whether or not Pedestrian Signal,3,Device Functioning Properly,14,Negotiating a Curve,12,Off the edge of the road on the left side,99,Unknown/Not Reported,1,Tracking,4,Departed roadway,6,B6-Single Driver-Left Roadside Departure-Drive Off Road,102,Single Driver-Left Roadside Departure,38,1,,,,
15,Hawaii,150040,1,1,5,May,8:00pm-8:59pm,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,,,,Motor Vehicle In-Transport (Inside or Outside the Trafficway),1,Yes,15,Hawaii,1,Driver (in this crash) was  Registered Owner,5TEWN72N03Z1,5TEWN72N03Z1,2003,2003,448,Toyota,2223,Tacoma,Pickup,49,Toyota,34,Light Pickup,0,8,Pedestrian,0,No or Not Reported,49472,Toyota Tacoma,6,Valid,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,0,No Restrictions or Not Applicable,71,71,195,195 lbs.,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,No Record,0,No Record,0,No Record,0,No Record,0,No,1,"Two-Way, Not Divided",2,Two lanes,55,55 MPH,1,Straight,6,Downhill,2,"Blacktop, Bituminous, or Asphalt",2,Wet,0,No Controls,0,No Controls,1,Going Straight,11,Over the lane line on right side of travel lane,99,Unknown/Not Reported,1,Tracking,4,Departed roadway,13,C13-Single Driver-Forward Impact-Pedestrian/ Animal,103,Single Driver-Struck Object While Moving Forward,472,0,,,,
15,Hawaii,150041,1,1,6,June,2:00am-2:59am,Embankment,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,,,,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,15,Hawaii,1,Driver (in this crash) was  Registered Owner,3N1AB7AP7JY2,3N1AB7AP7JY2,2018,2018,478,Nissan,1907,Sentra,Sedan/Saloon,35,Nissan/Datsun,4,"4-door sedan, hardtop",0,35,Embankment,0,No or Not Reported,35043,Nissan/Datsun Sentra,4,Canceled or denied,0,No (CDL),0,No Endorsements required for this vehicle,2,No valid license for this class vehicle,0,No Restrictions or Not Applicable,66,66,198,198 lbs.,0,None,0,None,0,None,0,None,0,None,1,1,0,None,1,January,2021,2021,1,January,2021,2021,3,"Yes, Exceeded Speed Limit",1,"Two-Way, Not Divided",2,Two lanes,40,40 MPH,2,Curve - Right,1,Level,2,"Blacktop, Bituminous, or Asphalt",1,Dry,0,No Controls,0,No Controls,14,Negotiating a Curve,6,Traveling Too Fast for Conditions or Road Configuration,99,Unknown/Not Reported,9,Precrash stability unknown,4,Departed roadway,7,B7-Single Driver-Left Roadside Departure-Control/Traction Loss,102,Single Driver-Left Roadside Departure,43,1,,,,
15,Hawaii,150042,1,1,6,June,8:00am-8:59am,Pedalcyclist,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,,,,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,15,Hawaii,2,Driver (in this crash) Not Registered Owner (Other Private Owner Listed),4TASN92NXXZ4,4TASN92NXXZ4,1999,1999,448,Toyota,2223,Tacoma,Pickup,49,Toyota,34,Light Pickup,0,9,Pedalcyclist,0,No or Not Reported,49472,Toyota Tacoma,6,Valid,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,0,No Restrictions or Not Applicable,61,61,90,90 lbs.,0,None,0,None,0,None,0,None,0,None,0,None,1,1,10,October,2020,2020,10,October,2020,2020,3,"Yes, Exceeded Speed Limit",1,"Two-Way, Not Divided",2,Two lanes,45,45 MPH,1,Straight,6,Downhill,1,Concrete,1,Dry,0,No Controls,0,No Controls,1,Going Straight,83,Pedalcyclist or other non-motorist in road,8,Braking and steering left,2,Skidding longitudinally  rotation less than 30 degrees,1,Stayed in original travel lane,13,C13-Single Driver-Forward Impact-Pedestrian/ Animal,103,Single Driver-Struck Object While Moving Forward,472,0,,,,
15,Hawaii,150043,1,1,6,June,11:00pm-11:59pm,"Post, Pole or Other Supports",0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,,,,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,15,Hawaii,2,Driver (in this crash) Not Registered Owner (Other Private Owner Listed),1GNES13H3623,1GNES13H3623,2006,2006,467,Chevrolet,4548,Trailblazer,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),20,Chevrolet,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",0,31,"Post, Pole or Other Supports",0,No or Not Reported,20403,"Chevrolet TrailBlazer (2003 on; for 2002 model, see 401)",6,Valid,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,0,No Restrictions or Not Applicable,72,72,230,230 lbs.,0,None,0,None,0,None,0,None,0,None,0,None,1,1,7,July,2019,2019,7,July,2019,2019,5,"Yes, Specifics Unknown",3,"Two-Way,  Divided, Positive  Median Barrier",5,Five lanes,55,55 MPH,1,Straight,1,Level,2,"Blacktop, Bituminous, or Asphalt",1,Dry,0,No Controls,0,No Controls,1,Going Straight,13,Off the edge of the road on the right side,99,Unknown/Not Reported,9,Precrash stability unknown,4,Departed roadway,1,A1-Single Driver-Right Roadside Departure-Drive Off Road,101,Single Driver-Right Roadside Departure,403,1,,,,
15,Hawaii,150044,1,1,4,April,7:00pm-7:59pm,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,,,,Motor Vehicle In-Transport (Inside or Outside the Trafficway),1,Yes,15,Hawaii,1,Driver (in this crash) was  Registered Owner,5TFDY5F16JX7,5TFDY5F16JX7,2018,2018,448,Toyota,2467,Tundra,Pickup,49,Toyota,34,Light Pickup,0,8,Pedestrian,0,No or Not Reported,49482,Toyota Tundra,6,Valid,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,3,"Restrictions, Compliance Unknown",71,71,185,185 lbs.,0,None,0,None,0,None,0,None,0,None,0,None,2,2,3,March,2020,2020,3,March,2020,2020,0,No,0,Non-Trafficway or Driveway Access,0,Non-Trafficway or Driveway Access,0,No Statutory Limit/Non-Trafficway or Driveway Access,0,Non-Trafficway or Driveway Access,0,Non-Trafficway or Driveway Access,0,Non-Trafficway or Driveway Access,0,Non-Trafficway or Driveway Access,0,No Controls,0,No Controls,11,Turning Left,80,Pedestrian in road,1,No Avoidance Maneuver,1,Tracking,1,Stayed in original travel lane,13,C13-Single Driver-Forward Impact-Pedestrian/ Animal,103,Single Driver-Struck Object While Moving Forward,482,0,,,,
15,Hawaii,150045,1,2,5,May,2:00pm-2:59pm,Motor Vehicle In-Transport,2,Front-to-Front,,,,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,15,Hawaii,1,Driver (in this crash) was  Registered Owner,1N6BD0CT7FN7,1N6BD0CT7FN7,2015,2015,478,Nissan,1919,Frontier,Pickup,35,Nissan/Datsun,34,Light Pickup,0,12,Motor Vehicle In-Transport,0,No or Not Reported,35472,Nissan/Datsun Frontier (1998 on),3,Expired,0,No (CDL),0,No Endorsements required for this vehicle,2,No valid license for this class vehicle,0,No Restrictions or Not Applicable,69,69,130,130 lbs.,0,None,0,None,0,None,0,None,0,None,1,1,3,3,1,January,2019,2019,6,June,2021,2021,0,No,1,"Two-Way, Not Divided",2,Two lanes,20,20 MPH,2,Curve - Right,1,Level,2,"Blacktop, Bituminous, or Asphalt",1,Dry,0,No Controls,0,No Controls,14,Negotiating a Curve,10,Over the lane line on left side of travel lane,1,No Avoidance Maneuver,1,Tracking,2,"Stayed on roadway, but left original travel lane",50,"G50-Same Trafficway, Opposite Direction-Head-On-Lateral Move (Left/Right)",301,"Same Trafficway, Opposite Direction-Lateral Move [Left/Right], Head-On, Sideswipe, or Angle",472,1,,,,
15,Hawaii,150045,2,2,5,May,2:00pm-2:59pm,Motor Vehicle In-Transport,2,Front-to-Front,,,,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,15,Hawaii,4,Vehicle Registered as Rental Vehicle,1N4BL4CV4MN4,1N4BL4CV4MN4,2021,2021,478,Nissan,1904,Altima,Sedan/Saloon,35,Nissan/Datsun,4,"4-door sedan, hardtop",0,12,Motor Vehicle In-Transport,0,No or Not Reported,35047,Nissan/Datsun Altima,6,Valid,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,0,No Restrictions or Not Applicable,74,74,200,200 lbs.,1,1,0,None,0,None,0,None,0,None,0,None,0,None,12,December,2020,2020,12,December,2020,2020,0,No,1,"Two-Way, Not Divided",2,Two lanes,20,20 MPH,3,Curve - Left,1,Level,2,"Blacktop, Bituminous, or Asphalt",1,Dry,0,No Controls,0,No Controls,14,Negotiating a Curve,62,From opposite direction  over left lane line,16,Braking,1,Tracking,1,Stayed in original travel lane,51,"G51-Same Trafficway, Opposite Direction-Head-On-Lateral Move (Going Straight)",302,"Same Trafficway, Opposite Direction-Lateral Move [Going Straight], Head-On, Sideswipe, or Angle",47,0,,,,
15,Hawaii,150046,1,1,6,June,11:00am-11:59am,Rollover/Overturn,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,,,,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,15,Hawaii,2,Driver (in this crash) Not Registered Owner (Other Private Owner Listed),HZ2TABGH7N10,HZ2TABGH7N10,2022,2022,11787,ZHILONG,30439,TSL,Motorcycle - Scooter,98,Other Make,84,Motor Scooter,0,1,Rollover/Overturn,0,No or Not Reported,98701,Other Make 0-50cc,6,Valid,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,3,"Restrictions, Compliance Unknown",66,66,155,155 lbs.,1,1,0,None,1,1,0,None,0,None,0,None,0,None,8,August,2019,2019,8,August,2019,2019,0,No,1,"Two-Way, Not Divided",2,Two lanes,35,35 MPH,3,Curve - Left,1,Level,2,"Blacktop, Bituminous, or Asphalt",1,Dry,0,No Controls,0,No Controls,14,Negotiating a Curve,9,Unknown cause of control loss,99,Unknown/Not Reported,1,Tracking,1,Stayed in original travel lane,98,M98-Other Crash Type,998,Other Crash Type,701,1,,,,
15,Hawaii,150047,1,1,7,July,11:00am-11:59am,Pedalcyclist,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,,,,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,15,Hawaii,1,Driver (in this crash) was  Registered Owner,1C6JJTBG0ML5,1C6JJTBG0ML5,2021,2021,483,Jeep,25919,Gladiator,Pickup,2,Jeep / Kaiser-Jeep / Willys- Jeep,34,Light Pickup,0,9,Pedalcyclist,0,No or Not Reported,2483,Jeep / Kaiser-Jeep / Willys- Jeep Gladiator,6,Valid,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,0,No Restrictions or Not Applicable,72,72,175,175 lbs.,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,No Record,0,No Record,0,No Record,0,No Record,9,Reported as Unknown,1,"Two-Way, Not Divided",2,Two lanes,45,45 MPH,1,Straight,5,Uphill,2,"Blacktop, Bituminous, or Asphalt",1,Dry,0,No Controls,0,No Controls,6,Passing or Overtaking Another Vehicle,83,Pedalcyclist or other non-motorist in road,1,No Avoidance Maneuver,1,Tracking,2,"Stayed on roadway, but left original travel lane",13,C13-Single Driver-Forward Impact-Pedestrian/ Animal,103,Single Driver-Struck Object While Moving Forward,483,0,,,,
15,Hawaii,150048,1,2,8,August,3:00am-3:59am,Motor Vehicle In-Transport,2,Front-to-Front,,,,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,15,Hawaii,2,Driver (in this crash) Not Registered Owner (Other Private Owner Listed),1FMYU02Z17KA,1FMYU02Z17KA,2007,2007,460,Ford,1798,Escape,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,Ford,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",0,12,Motor Vehicle In-Transport,1,Yes,12402,Ford Escape,0,Not licensed,0,No (CDL),0,No Endorsements required for this vehicle,0,Not licensed,0,No Restrictions or Not Applicable,71,71,154,154 lbs.,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,No Record,0,No Record,0,No Record,0,No Record,5,"Yes, Specifics Unknown",1,"Two-Way, Not Divided",4,Four lanes,40,40 MPH,1,Straight,1,Level,2,"Blacktop, Bituminous, or Asphalt",1,Dry,0,No Controls,0,No Controls,1,Going Straight,10,Over the lane line on left side of travel lane,1,No Avoidance Maneuver,1,Tracking,2,"Stayed on roadway, but left original travel lane",50,"G50-Same Trafficway, Opposite Direction-Head-On-Lateral Move (Left/Right)",301,"Same Trafficway, Opposite Direction-Lateral Move [Left/Right], Head-On, Sideswipe, or Angle",402,1,,,,
15,Hawaii,150048,2,2,8,August,3:00am-3:59am,Motor Vehicle In-Transport,2,Front-to-Front,,,,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,15,Hawaii,1,Driver (in this crash) was  Registered Owner,KNDJN2A21G73,KNDJN2A21G73,2016,2016,499,Kia,2460,Soul,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),63,KIA,6,Station Wagon (excluding van and truck based),0,12,Motor Vehicle In-Transport,0,No or Not Reported,63037,KIA Soul,6,Valid,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,0,No Restrictions or Not Applicable,69,69,130,130 lbs.,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,No Record,0,No Record,0,No Record,0,No Record,0,No,1,"Two-Way, Not Divided",4,Four lanes,40,40 MPH,1,Straight,1,Level,2,"Blacktop, Bituminous, or Asphalt",1,Dry,0,No Controls,0,No Controls,1,Going Straight,62,From opposite direction  over left lane line,1,No Avoidance Maneuver,1,Tracking,1,Stayed in original travel lane,51,"G51-Same Trafficway, Opposite Direction-Head-On-Lateral Move (Going Straight)",302,"Same Trafficway, Opposite Direction-Lateral Move [Going Straight], Head-On, Sideswipe, or Angle",37,2,,,,
15,Hawaii,150049,1,1,8,August,1:00pm-1:59pm,Pedalcyclist,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,,,,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,15,Hawaii,1,Driver (in this crash) was  Registered Owner,2HGES165X4H6,2HGES165X4H6,2004,2004,474,Honda,1863,Civic,Sedan/Saloon,37,Honda,4,"4-door sedan, hardtop",0,9,Pedalcyclist,0,No or Not Reported,37031,"Honda Civic/CRX, del Sol",6,Valid,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,0,No Restrictions or Not Applicable,70,70,185,185 lbs.,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,No Record,0,No Record,0,No Record,0,No Record,0,No,1,"Two-Way, Not Divided",2,Two lanes,25,25 MPH,1,Straight,1,Level,2,"Blacktop, Bituminous, or Asphalt",1,Dry,0,No Controls,0,No Controls,1,Going Straight,83,Pedalcyclist or other non-motorist in road,1,No Avoidance Maneuver,1,Tracking,1,Stayed in original travel lane,13,C13-Single Driver-Forward Impact-Pedestrian/ Animal,103,Single Driver-Struck Object While Moving Forward,31,0,,,,
15,Hawaii,150050,1,4,8,August,3:00pm-3:59pm,Motor Vehicle In-Transport,1,Front-to-Rear,,,,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,15,Hawaii,1,Driver (in this crash) was  Registered Owner,WDCGG5HB2EG2,WDCGG5HB2EG2,2014,2014,449,Mercedes-Benz,2132,GLK-Class,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),42,Mercedes-Benz,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",0,12,Motor Vehicle In-Transport,0,No or Not Reported,42403,Mercedes-Benz GLK Class,6,Valid,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,0,No Restrictions or Not Applicable,73,73,230,230 lbs.,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,No Record,0,No Record,0,No Record,0,No Record,3,"Yes, Exceeded Speed Limit",3,"Two-Way,  Divided, Positive  Median Barrier",5,Five lanes,45,45 MPH,1,Straight,1,Level,1,Concrete,1,Dry,0,No Controls,0,No Controls,1,Going Straight,52,Traveling in same direction while decelerating,8,Braking and steering left,9,Precrash stability unknown,1,Stayed in original travel lane,24,"D24-Same Trafficway, Same Direction-Rear End-Slower",202,"Same Trafficway, Same Direction-Rear End, Lead Vehicle",403,0,,,,
15,Hawaii,150050,2,4,8,August,3:00pm-3:59pm,Motor Vehicle In-Transport,1,Front-to-Rear,,,,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,15,Hawaii,3,Vehicle Registered as Commercial/Business/Company/Government Vehicle,5J6RE3H79AL0,5J6RE3H79AL0,2010,2010,474,Honda,1865,CR-V,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),37,Honda,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",0,12,Motor Vehicle In-Transport,0,No or Not Reported,37402,Honda CR-V,6,Valid,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,3,"Restrictions, Compliance Unknown",62,62,123,123 lbs.,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,No Record,0,No Record,0,No Record,0,No Record,0,No,3,"Two-Way,  Divided, Positive  Median Barrier",5,Five lanes,45,45 MPH,1,Straight,1,Level,1,Concrete,1,Dry,0,No Controls,0,No Controls,2,Decelerating in Road,53,Traveling in same direction with higher speed,1,No Avoidance Maneuver,1,Tracking,1,Stayed in original travel lane,25,"D25-Same Trafficway, Same Direction-Rear End-Slower, Going Straight",201,"Same Trafficway, Same Direction-Rear End, Trailing Vehicle",402,2,,,,
15,Hawaii,150050,3,4,8,August,3:00pm-3:59pm,Motor Vehicle In-Transport,1,Front-to-Rear,,,,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,15,Hawaii,2,Driver (in this crash) Not Registered Owner (Other Private Owner Listed),3TMKU4HN2EM0,3TMKU4HN2EM0,2014,2014,448,Toyota,2223,Tacoma,Pickup,49,Toyota,34,Light Pickup,0,12,Motor Vehicle In-Transport,0,No or Not Reported,49472,Toyota Tacoma,6,Valid,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,0,No Restrictions or Not Applicable,72,72,195,195 lbs.,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,No Record,0,No Record,0,No Record,0,No Record,3,"Yes, Exceeded Speed Limit",3,"Two-Way,  Divided, Positive  Median Barrier",5,Five lanes,45,45 MPH,1,Straight,1,Level,1,Concrete,1,Dry,0,No Controls,0,No Controls,1,Going Straight,61,From adjacent lane (same direction) over right lane line,16,Braking,9,Precrash stability unknown,1,Stayed in original travel lane,98,M98-Other Crash Type,998,Other Crash Type,472,0,,,,
15,Hawaii,150050,4,4,8,August,3:00pm-3:59pm,Motor Vehicle In-Transport,1,Front-to-Rear,,,,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,15,Hawaii,1,Driver (in this crash) was  Registered Owner,1N6AD0ER3GN7,1N6AD0ER3GN7,2016,2016,478,Nissan,1919,Frontier,Pickup,35,Nissan/Datsun,34,Light Pickup,0,12,Motor Vehicle In-Transport,0,No or Not Reported,35472,Nissan/Datsun Frontier (1998 on),6,Valid,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,0,No Restrictions or Not Applicable,63,63,150,150 lbs.,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,No Record,0,No Record,0,No Record,0,No Record,0,No,3,"Two-Way,  Divided, Positive  Median Barrier",5,Five lanes,45,45 MPH,1,Straight,1,Level,1,Concrete,1,Dry,0,No Controls,0,No Controls,1,Going Straight,60,From adjacent lane (same direction) over left lane line,99,Unknown/Not Reported,1,Tracking,1,Stayed in original travel lane,98,M98-Other Crash Type,998,Other Crash Type,472,0,,,,
15,Hawaii,150051,1,1,8,August,5:00pm-5:59pm,Parked Motor Vehicle,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,,,,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,15,Hawaii,2,Driver (in this crash) Not Registered Owner (Other Private Owner Listed),2HGES16533H5,2HGES16533H5,2003,2003,474,Honda,1863,Civic,Sedan/Saloon,37,Honda,4,"4-door sedan, hardtop",0,14,Parked Motor Vehicle,0,No or Not Reported,37031,"Honda Civic/CRX, del Sol",6,Valid,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,3,"Restrictions, Compliance Unknown",62,62,160,160 lbs.,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,No Record,0,No Record,0,No Record,0,No Record,3,"Yes, Exceeded Speed Limit",6,Entrance/Exit Ramp,2,Two lanes,45,45 MPH,1,Straight,1,Level,2,"Blacktop, Bituminous, or Asphalt",1,Dry,0,No Controls,0,No Controls,1,Going Straight,13,Off the edge of the road on the right side,1,No Avoidance Maneuver,1,Tracking,4,Departed roadway,11,C11-Single Driver-Forward Impact-Parked Veh.,103,Single Driver-Struck Object While Moving Forward,31,0,,,,
